gga-miR-456
gga-miR-460
gga-miR-757
hsa-let-7a
hsa-let-7a*
hsa-let-7b
hsa-let-7b*
hsa-let-7c
hsa-let-7c*
hsa-let-7d
hsa-let-7d*
hsa-let-7e
hsa-let-7e*
hsa-let-7f
hsa-let-7f-1*
hsa-let-7f-2*
hsa-let-7g
hsa-let-7g*
hsa-let-7i
hsa-let-7i*
hsa-miR-1
hsa-miR-100
hsa-miR-100*
hsa-miR-101
hsa-miR-101*
hsa-miR-103
hsa-miR-105
hsa-miR-105*
hsa-miR-106a
hsa-miR-106a*
hsa-miR-106b
hsa-miR-106b*
hsa-miR-107
hsa-miR-10a
hsa-miR-10a*
hsa-miR-10b
hsa-miR-10b*
hsa-miR-122
hsa-miR-122*
hsa-miR-124
hsa-miR-124*
hsa-miR-125a-3p
hsa-miR-125a-5p
hsa-miR-125b
hsa-miR-125b-1*
hsa-miR-125b-2*
hsa-miR-126
hsa-miR-126*
hsa-miR-127-3p
hsa-miR-127-5p
hsa-miR-128a
hsa-miR-129*
hsa-miR-129-3p
hsa-miR-129-5p
hsa-miR-130a
hsa-miR-130a*
hsa-miR-130b
hsa-miR-130b*
hsa-miR-132
hsa-miR-132*
hsa-miR-133a
hsa-miR-133b
hsa-miR-134
hsa-miR-135a
hsa-miR-135a*
hsa-miR-135b
hsa-miR-135b*
hsa-miR-136
hsa-miR-136*
hsa-miR-137
hsa-miR-138
hsa-miR-138-1*
hsa-miR-138-2*
hsa-miR-139-3p
hsa-miR-139-5p
hsa-miR-140-3p
hsa-miR-140-5p
hsa-miR-141
hsa-miR-141*
hsa-miR-142-3p
hsa-miR-142-5p
hsa-miR-143
hsa-miR-143*
hsa-miR-144
hsa-miR-144*
hsa-miR-145
hsa-miR-145*
hsa-miR-146a
hsa-miR-146a*
hsa-miR-146b-3p
hsa-miR-146b-5p
hsa-miR-147
hsa-miR-147b
hsa-miR-148a
hsa-miR-148a*
hsa-miR-148b
hsa-miR-148b*
hsa-miR-149
hsa-miR-149*
hsa-miR-150
hsa-miR-150*
hsa-miR-151-3p
hsa-miR-151-5p
hsa-miR-152
hsa-miR-153
hsa-miR-154
hsa-miR-154*
hsa-miR-155
hsa-miR-155*
hsa-miR-15a
hsa-miR-15a*
hsa-miR-15b
hsa-miR-15b*
hsa-miR-16
hsa-miR-16-1*
hsa-miR-16-2*
hsa-miR-17
hsa-miR-17*
hsa-miR-181a
hsa-miR-181a*
hsa-miR-181a-2*
hsa-miR-181b
hsa-miR-181c
hsa-miR-181c*
hsa-miR-181d
hsa-miR-182
hsa-miR-182*
hsa-miR-183
hsa-miR-183*
hsa-miR-184
hsa-miR-185
hsa-miR-185*
hsa-miR-186
hsa-miR-186*
hsa-miR-187
hsa-miR-187*
hsa-miR-188-3p
hsa-miR-188-5p
hsa-miR-18a
hsa-miR-18a*
hsa-miR-18b
hsa-miR-18b*
hsa-miR-190
hsa-miR-190b
hsa-miR-191
hsa-miR-191*
hsa-miR-192
hsa-miR-192*
hsa-miR-193a-3p
hsa-miR-193a-5p
hsa-miR-193b
hsa-miR-193b*
hsa-miR-194
hsa-miR-194*
hsa-miR-195
hsa-miR-195*
hsa-miR-196a
hsa-miR-196a*
hsa-miR-196b
hsa-miR-197
hsa-miR-198
hsa-miR-199a-3p
hsa-miR-199a-5p
hsa-miR-199b-5p
hsa-miR-19a
hsa-miR-19a*
hsa-miR-19b
hsa-miR-19b-1*
hsa-miR-19b-2*
hsa-miR-200a
hsa-miR-200a*
hsa-miR-200b
hsa-miR-200b*
hsa-miR-200c
hsa-miR-200c*
hsa-miR-202
hsa-miR-202*
hsa-miR-203
hsa-miR-204
hsa-miR-205
hsa-miR-206
hsa-miR-208
hsa-miR-208b
hsa-miR-20a
hsa-miR-20a*
hsa-miR-20b
hsa-miR-20b*
hsa-miR-21
hsa-miR-21*
hsa-miR-210
hsa-miR-211
hsa-miR-212
hsa-miR-214
hsa-miR-214*
hsa-miR-215
hsa-miR-216a
hsa-miR-216b
hsa-miR-217
hsa-miR-218
hsa-miR-218-1*
hsa-miR-218-2*
hsa-miR-219-1-3p
hsa-miR-219-2-3p
hsa-miR-219-5p
hsa-miR-22
hsa-miR-22*
hsa-miR-220
hsa-miR-220b
hsa-miR-220c
hsa-miR-221
hsa-miR-221*
hsa-miR-222
hsa-miR-222*
hsa-miR-223
hsa-miR-223*
hsa-miR-224
hsa-miR-23a
hsa-miR-23a*
hsa-miR-23b
hsa-miR-23b*
hsa-miR-24
hsa-miR-24-1*
hsa-miR-24-2*
hsa-miR-25
hsa-miR-25*
hsa-miR-26a
hsa-miR-26a-1*
hsa-miR-26a-2*
hsa-miR-26b
hsa-miR-26b*
hsa-miR-27a
hsa-miR-27a*
hsa-miR-27b
hsa-miR-27b*
hsa-miR-28-3p
hsa-miR-28-5p
hsa-miR-296-3p
hsa-miR-296-5p
hsa-miR-297
hsa-miR-298
hsa-miR-299-3p
hsa-miR-299-5p
hsa-miR-29a
hsa-miR-29a*
hsa-miR-29b
hsa-miR-29b-1*
hsa-miR-29b-2*
hsa-miR-29c
hsa-miR-29c*
hsa-miR-300
hsa-miR-301a
hsa-miR-301b
hsa-miR-302a
hsa-miR-302a*
hsa-miR-302b
hsa-miR-302b*
hsa-miR-302c
hsa-miR-302c*
hsa-miR-302d
hsa-miR-302d*
hsa-miR-30a
hsa-miR-30a*
hsa-miR-30b
hsa-miR-30b*
hsa-miR-30c
hsa-miR-30c-1*
hsa-miR-30c-2*
hsa-miR-30d
hsa-miR-30d*
hsa-miR-30e
hsa-miR-30e*
hsa-miR-31
hsa-miR-31*
hsa-miR-32
hsa-miR-32*
hsa-miR-320
hsa-miR-323-3p
hsa-miR-323-5p
hsa-miR-324-3p
hsa-miR-324-5p
hsa-miR-325
hsa-miR-326
hsa-miR-328
hsa-miR-329
hsa-miR-330-3p
hsa-miR-330-5p
hsa-miR-331-3p
hsa-miR-331-5p
hsa-miR-335
hsa-miR-335*
hsa-miR-337-3p
hsa-miR-337-5p
hsa-miR-338-3p
hsa-miR-338-5p
hsa-miR-339-3p
